./Data/mawps_train_bpe.csv
./Data/mawps_valid_bpe.csv
./Data/mawps_test_bpe.csv
| epoch   1 |     2/  105 batches | lr 20.00 | ms/batch 863.55 | loss 18.22 | ppl 81597718.43
| epoch   1 |     4/  105 batches | lr 20.00 | ms/batch 523.17 | loss  8.52 | ppl  5038.64
| epoch   1 |     6/  105 batches | lr 20.00 | ms/batch 523.53 | loss  8.41 | ppl  4513.07
| epoch   1 |     8/  105 batches | lr 20.00 | ms/batch 536.97 | loss  9.40 | ppl 12119.30
| epoch   1 |    10/  105 batches | lr 20.00 | ms/batch 561.91 | loss  8.35 | ppl  4221.90
| epoch   1 |    12/  105 batches | lr 20.00 | ms/batch 547.39 | loss  8.39 | ppl  4400.77
| epoch   1 |    14/  105 batches | lr 20.00 | ms/batch 527.70 | loss  9.36 | ppl 11571.45
| epoch   1 |    16/  105 batches | lr 20.00 | ms/batch 532.71 | loss  8.44 | ppl  4646.62
| epoch   1 |    18/  105 batches | lr 20.00 | ms/batch 531.32 | loss  7.80 | ppl  2435.59
| epoch   1 |    20/  105 batches | lr 20.00 | ms/batch 538.46 | loss  7.97 | ppl  2881.97
| epoch   1 |    22/  105 batches | lr 20.00 | ms/batch 552.52 | loss 13.47 | ppl 706170.02
| epoch   1 |    24/  105 batches | lr 20.00 | ms/batch 515.98 | loss  7.46 | ppl  1734.29
| epoch   1 |    26/  105 batches | lr 20.00 | ms/batch 513.11 | loss  7.79 | ppl  2426.44
| epoch   1 |    28/  105 batches | lr 20.00 | ms/batch 521.98 | loss  7.67 | ppl  2147.05
| epoch   1 |    30/  105 batches | lr 20.00 | ms/batch 525.14 | loss  7.85 | ppl  2574.76
| epoch   1 |    32/  105 batches | lr 20.00 | ms/batch 527.67 | loss  8.86 | ppl  7031.50
| epoch   1 |    34/  105 batches | lr 20.00 | ms/batch 515.37 | loss  8.02 | ppl  3035.18
| epoch   1 |    36/  105 batches | lr 20.00 | ms/batch 529.99 | loss  8.03 | ppl  3062.37
| epoch   1 |    38/  105 batches | lr 20.00 | ms/batch 512.86 | loss  7.74 | ppl  2304.78
| epoch   1 |    40/  105 batches | lr 20.00 | ms/batch 523.71 | loss  7.44 | ppl  1696.42
| epoch   1 |    42/  105 batches | lr 20.00 | ms/batch 514.92 | loss  7.95 | ppl  2846.22
| epoch   1 |    44/  105 batches | lr 20.00 | ms/batch 517.12 | loss  7.55 | ppl  1897.28
| epoch   1 |    46/  105 batches | lr 20.00 | ms/batch 520.30 | loss  7.35 | ppl  1561.09
| epoch   1 |    48/  105 batches | lr 20.00 | ms/batch 519.15 | loss  8.09 | ppl  3270.60
| epoch   1 |    50/  105 batches | lr 20.00 | ms/batch 522.30 | loss  8.18 | ppl  3572.40
| epoch   1 |    52/  105 batches | lr 20.00 | ms/batch 529.15 | loss  7.49 | ppl  1791.06
| epoch   1 |    54/  105 batches | lr 20.00 | ms/batch 528.92 | loss  7.27 | ppl  1441.92
| epoch   1 |    56/  105 batches | lr 20.00 | ms/batch 537.72 | loss  7.05 | ppl  1153.42
| epoch   1 |    58/  105 batches | lr 20.00 | ms/batch 533.33 | loss  7.44 | ppl  1702.03
| epoch   1 |    60/  105 batches | lr 20.00 | ms/batch 529.15 | loss  9.91 | ppl 20037.43
| epoch   1 |    62/  105 batches | lr 20.00 | ms/batch 529.90 | loss  7.14 | ppl  1267.28
| epoch   1 |    64/  105 batches | lr 20.00 | ms/batch 517.55 | loss  7.16 | ppl  1292.00
| epoch   1 |    66/  105 batches | lr 20.00 | ms/batch 523.08 | loss  6.99 | ppl  1085.68
| epoch   1 |    68/  105 batches | lr 20.00 | ms/batch 534.04 | loss  7.12 | ppl  1238.03
| epoch   1 |    70/  105 batches | lr 20.00 | ms/batch 527.46 | loss  7.40 | ppl  1634.91
| epoch   1 |    72/  105 batches | lr 20.00 | ms/batch 526.00 | loss  7.86 | ppl  2589.35
| epoch   1 |    74/  105 batches | lr 20.00 | ms/batch 527.34 | loss  7.11 | ppl  1219.94
| epoch   1 |    76/  105 batches | lr 20.00 | ms/batch 525.10 | loss  7.27 | ppl  1437.65
| epoch   1 |    78/  105 batches | lr 20.00 | ms/batch 521.63 | loss  6.91 | ppl  1004.45
| epoch   1 |    80/  105 batches | lr 20.00 | ms/batch 517.84 | loss  8.79 | ppl  6567.87
| epoch   1 |    82/  105 batches | lr 20.00 | ms/batch 519.66 | loss  7.25 | ppl  1412.22
| epoch   1 |    84/  105 batches | lr 20.00 | ms/batch 512.39 | loss  7.47 | ppl  1753.18
| epoch   1 |    86/  105 batches | lr 20.00 | ms/batch 519.13 | loss  7.93 | ppl  2778.36
| epoch   1 |    88/  105 batches | lr 20.00 | ms/batch 530.92 | loss  7.41 | ppl  1650.11
| epoch   1 |    90/  105 batches | lr 20.00 | ms/batch 530.21 | loss  6.97 | ppl  1061.48
| epoch   1 |    92/  105 batches | lr 20.00 | ms/batch 544.63 | loss  7.47 | ppl  1750.04
| epoch   1 |    94/  105 batches | lr 20.00 | ms/batch 568.29 | loss  7.21 | ppl  1358.42
| epoch   1 |    96/  105 batches | lr 20.00 | ms/batch 545.21 | loss  6.79 | ppl   887.42
| epoch   1 |    98/  105 batches | lr 20.00 | ms/batch 543.09 | loss  6.81 | ppl   902.73
| epoch   1 |   100/  105 batches | lr 20.00 | ms/batch 606.00 | loss  6.92 | ppl  1010.76
| epoch   1 |   102/  105 batches | lr 20.00 | ms/batch 566.80 | loss  6.83 | ppl   928.38
| epoch   1 |   104/  105 batches | lr 20.00 | ms/batch 557.99 | loss  6.82 | ppl   912.32
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 59.35s | valid loss  6.79 | valid ppl   888.23
-----------------------------------------------------------------------------------------
| epoch   2 |     2/  105 batches | lr 20.00 | ms/batch 858.69 | loss 10.08 | ppl 23816.06
| epoch   2 |     4/  105 batches | lr 20.00 | ms/batch 562.77 | loss  6.67 | ppl   790.31
| epoch   2 |     6/  105 batches | lr 20.00 | ms/batch 518.35 | loss  6.69 | ppl   803.00
| epoch   2 |     8/  105 batches | lr 20.00 | ms/batch 524.85 | loss  6.55 | ppl   699.47
| epoch   2 |    10/  105 batches | lr 20.00 | ms/batch 514.44 | loss  6.61 | ppl   745.23
| epoch   2 |    12/  105 batches | lr 20.00 | ms/batch 522.75 | loss  6.69 | ppl   803.39
| epoch   2 |    14/  105 batches | lr 20.00 | ms/batch 520.97 | loss  6.60 | ppl   737.85
| epoch   2 |    16/  105 batches | lr 20.00 | ms/batch 516.90 | loss  6.36 | ppl   579.65
| epoch   2 |    18/  105 batches | lr 20.00 | ms/batch 521.89 | loss  6.56 | ppl   702.97
| epoch   2 |    20/  105 batches | lr 20.00 | ms/batch 519.51 | loss  6.37 | ppl   583.86
| epoch   2 |    22/  105 batches | lr 20.00 | ms/batch 517.21 | loss  7.15 | ppl  1269.54
| epoch   2 |    24/  105 batches | lr 20.00 | ms/batch 522.06 | loss  6.26 | ppl   522.51
| epoch   2 |    26/  105 batches | lr 20.00 | ms/batch 526.41 | loss  6.60 | ppl   732.72
| epoch   2 |    28/  105 batches | lr 20.00 | ms/batch 533.73 | loss  6.39 | ppl   594.35
| epoch   2 |    30/  105 batches | lr 20.00 | ms/batch 517.22 | loss  6.38 | ppl   589.07
| epoch   2 |    32/  105 batches | lr 20.00 | ms/batch 518.12 | loss  6.47 | ppl   644.99
| epoch   2 |    34/  105 batches | lr 20.00 | ms/batch 518.83 | loss  6.61 | ppl   740.02
| epoch   2 |    36/  105 batches | lr 20.00 | ms/batch 516.51 | loss  6.17 | ppl   475.85
| epoch   2 |    38/  105 batches | lr 20.00 | ms/batch 518.84 | loss  6.38 | ppl   587.15
| epoch   2 |    40/  105 batches | lr 20.00 | ms/batch 515.69 | loss  6.26 | ppl   525.78
| epoch   2 |    42/  105 batches | lr 20.00 | ms/batch 520.98 | loss  6.81 | ppl   905.91
| epoch   2 |    44/  105 batches | lr 20.00 | ms/batch 513.74 | loss  6.20 | ppl   491.38
| epoch   2 |    46/  105 batches | lr 20.00 | ms/batch 514.40 | loss  6.22 | ppl   502.29
| epoch   2 |    48/  105 batches | lr 20.00 | ms/batch 513.68 | loss  6.13 | ppl   458.61
| epoch   2 |    50/  105 batches | lr 20.00 | ms/batch 516.86 | loss  6.30 | ppl   544.09
| epoch   2 |    52/  105 batches | lr 20.00 | ms/batch 521.13 | loss  6.42 | ppl   613.18
| epoch   2 |    54/  105 batches | lr 20.00 | ms/batch 528.96 | loss  6.30 | ppl   545.27
| epoch   2 |    56/  105 batches | lr 20.00 | ms/batch 539.42 | loss  5.99 | ppl   400.00
| epoch   2 |    58/  105 batches | lr 20.00 | ms/batch 641.99 | loss  6.15 | ppl   467.05
| epoch   2 |    60/  105 batches | lr 20.00 | ms/batch 534.76 | loss  6.29 | ppl   538.45
| epoch   2 |    62/  105 batches | lr 20.00 | ms/batch 546.98 | loss  6.12 | ppl   456.88
| epoch   2 |    64/  105 batches | lr 20.00 | ms/batch 600.02 | loss  5.92 | ppl   374.12
| epoch   2 |    66/  105 batches | lr 20.00 | ms/batch 563.72 | loss  5.99 | ppl   398.05
| epoch   2 |    68/  105 batches | lr 20.00 | ms/batch 527.65 | loss  5.96 | ppl   386.47
| epoch   2 |    70/  105 batches | lr 20.00 | ms/batch 635.30 | loss  5.87 | ppl   354.94
| epoch   2 |    72/  105 batches | lr 20.00 | ms/batch 549.46 | loss  5.78 | ppl   325.27
| epoch   2 |    74/  105 batches | lr 20.00 | ms/batch 538.14 | loss  5.86 | ppl   351.54
| epoch   2 |    76/  105 batches | lr 20.00 | ms/batch 539.15 | loss  6.00 | ppl   402.90
| epoch   2 |    78/  105 batches | lr 20.00 | ms/batch 573.97 | loss  5.72 | ppl   304.33
| epoch   2 |    80/  105 batches | lr 20.00 | ms/batch 562.73 | loss  5.83 | ppl   339.26
| epoch   2 |    82/  105 batches | lr 20.00 | ms/batch 559.38 | loss  5.76 | ppl   318.45
| epoch   2 |    84/  105 batches | lr 20.00 | ms/batch 546.60 | loss  5.69 | ppl   294.82
| epoch   2 |    86/  105 batches | lr 20.00 | ms/batch 555.64 | loss  5.77 | ppl   320.52
| epoch   2 |    88/  105 batches | lr 20.00 | ms/batch 551.17 | loss  6.06 | ppl   429.70
| epoch   2 |    90/  105 batches | lr 20.00 | ms/batch 528.11 | loss  5.75 | ppl   312.69
| epoch   2 |    92/  105 batches | lr 20.00 | ms/batch 541.29 | loss  5.76 | ppl   317.16
| epoch   2 |    94/  105 batches | lr 20.00 | ms/batch 531.61 | loss  5.67 | ppl   289.50
| epoch   2 |    96/  105 batches | lr 20.00 | ms/batch 533.25 | loss  5.74 | ppl   310.95
| epoch   2 |    98/  105 batches | lr 20.00 | ms/batch 567.73 | loss  5.48 | ppl   240.54
| epoch   2 |   100/  105 batches | lr 20.00 | ms/batch 560.60 | loss  5.40 | ppl   220.78
| epoch   2 |   102/  105 batches | lr 20.00 | ms/batch 536.60 | loss  5.59 | ppl   268.28
| epoch   2 |   104/  105 batches | lr 20.00 | ms/batch 549.72 | loss  5.50 | ppl   244.71
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 59.61s | valid loss  5.60 | valid ppl   270.54
-----------------------------------------------------------------------------------------
| epoch   3 |     2/  105 batches | lr 20.00 | ms/batch 786.28 | loss  8.32 | ppl  4113.98
| epoch   3 |     4/  105 batches | lr 20.00 | ms/batch 517.77 | loss  5.46 | ppl   234.21
